file,class,method,variable,usage
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",b,5
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",strings,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",header,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",items,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",maxStringLength,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getSuperName/0,header,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getSuperName/0,items,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getSuperName/0,maxStringLength,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,readUnsignedShort/1[int],b,3
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/2[org.objectweb.asm.jip.ClassVisitor,int]",SKIP_CODE,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/2[org.objectweb.asm.jip.ClassVisitor,int]",EXPAND_FRAMES,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/2[org.objectweb.asm.jip.ClassVisitor,int]",SKIP_FRAMES,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/2[org.objectweb.asm.jip.ClassVisitor,int]",SKIP_DEBUG,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getItem/1[int],b,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getItem/1[int],items,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/3[org.objectweb.asm.jip.ClassVisitor,org.objectweb.asm.jip.Attribute[],int]",SKIP_CODE,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/3[org.objectweb.asm.jip.ClassVisitor,org.objectweb.asm.jip.Attribute[],int]",b,1
