file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",true,163,3,1,0,1,12,1,39,0,5,3,1,1,1,1,0,0,0,0,10,16,5,3,0,0,0,28,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,ClassReader/1[java.lang.String],true,368,0,0,0,0,1,2,3,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getSuperName/0,false,242,2,2,0,2,2,2,4,1,1,0,2,2,2,0,1,0,0,0,2,1,1,0,0,0,0,22,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,ClassReader/1[java.io.InputStream],true,358,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,readClass/1[java.io.InputStream],false,380,1,1,1,0,7,4,29,2,6,1,4,0,0,1,3,0,0,1,8,10,2,3,0,0,0,31,10,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"readLabel/2[int,org.objectweb.asm.jip.Label[]]",false,1801,1,2,2,0,2,0,6,1,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,39,4,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,readUnsignedShort/1[int],false,1887,1,12,12,0,1,0,4,1,1,1,0,0,0,0,0,0,3,0,4,1,2,0,0,0,0,31,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/2[org.objectweb.asm.jip.ClassVisitor,int]",false,424,3,1,0,1,1,1,3,0,0,2,1,1,10,0,0,0,0,0,1,0,0,0,0,0,0,30,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getItem/1[int],false,1863,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"accept/3[org.objectweb.asm.jip.ClassVisitor,org.objectweb.asm.jip.Attribute[],int]",false,450,11,14,1,13,238,47,838,0,87,3,47,13,9,46,78,0,15,31,330,366,161,9,0,0,0,200,1,0,true
