file,class,method,variable,usage
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",b,3
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",len,0
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",size,7
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",max,3
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",index,5
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",i,4
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",off,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,"ClassReader/3[byte[],int,int]",n,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,ClassReader/1[java.lang.String],name,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/ClassReader.java,org.objectweb.asm.jip.ClassReader,getSuperName/0,n,2
