file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,"visitTryCatchBlock/4[org.objectweb.asm.jip.Label,org.objectweb.asm.jip.Label,org.objectweb.asm.jip.Label,java.lang.String]",false,1154,2,0,0,0,3,1,16,0,1,4,1,0,0,0,2,0,0,0,1,9,0,1,0,0,0,15,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,visitInsn/1[int],false,641,1,1,0,1,7,3,18,0,1,1,3,1,1,0,3,0,1,0,1,3,1,3,0,0,0,20,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,endFrame/0,false,1570,2,4,3,1,3,1,11,0,0,0,1,1,2,0,2,0,0,0,0,3,0,2,0,0,0,22,2,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,writeFrame/0,false,1586,1,2,1,1,25,3,81,1,8,0,3,1,1,1,6,0,1,0,38,16,17,3,0,0,0,41,2,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,getSize/0,false,1760,1,1,0,1,35,3,85,2,4,0,3,1,6,2,17,0,6,16,34,22,20,2,0,0,0,44,16,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,put/1[org.objectweb.asm.jip.ByteVector],false,1858,2,0,0,0,63,7,152,1,5,1,7,0,0,2,35,0,7,15,40,14,12,3,0,0,0,54,16,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,visitLabel/1[org.objectweb.asm.jip.Label],false,959,3,4,3,1,12,2,44,3,0,1,2,1,1,0,10,0,3,0,3,17,0,3,0,0,0,23,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,writeFrameType/1[java.lang.Object],false,1741,1,1,1,0,3,4,11,0,0,1,4,0,0,0,0,0,2,0,2,0,0,1,0,0,0,7,2,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,visitFrame/1[org.objectweb.asm.jip.Frame],false,1497,3,4,2,2,14,2,44,0,7,1,2,2,3,4,9,0,0,0,10,17,1,2,0,0,0,24,2,0,true
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/51_jiprof/src/main/java/org/objectweb/asm/jip/MethodWriter.java,org.objectweb.asm.jip.MethodWriter,"visitMethodInsn/4[int,java.lang.String,java.lang.String,java.lang.String]",false,813,1,0,0,0,12,7,40,0,4,4,7,0,0,0,9,0,5,0,11,11,8,3,0,0,0,25,1,0,false
