file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous2,write/1[short],false,155,1,2,0,2,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous1,read/0,false,135,1,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous4,write/1[short],false,195,0,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous4,read/0,false,191,0,2,0,2,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotInfoInterrupt,handleInterrupt/0,false,473,1,3,0,3,1,7,5,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotInfoInterrupt,"GetRobotInfoInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",true,467,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,2,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous3,write/1[short],false,179,1,2,0,2,2,1,3,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous3,read/0,false,175,1,2,0,2,2,1,3,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotStatisticsInterrupt,"GetRobotStatisticsInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",true,488,1,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,2,0,false
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotStatisticsInterrupt,handleInterrupt/0,false,494,1,3,0,3,1,4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
