file,class,method,variable,usage
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous2,write/1[short],value,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous4,write/1[short],value,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotInfoInterrupt,"GetRobotInfoInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",lastDamageTaken,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotInfoInterrupt,"GetRobotInfoInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",lastDamageGiven,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotInfoInterrupt,"GetRobotInfoInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",speed,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$Anonymous3,write/1[short],value,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotStatisticsInterrupt,"GetRobotStatisticsInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",totalKills,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotStatisticsInterrupt,"GetRobotStatisticsInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",totalDeaths,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot$GetRobotStatisticsInterrupt,"GetRobotStatisticsInterrupt/3[net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell,net.virtualinfinity.atrobots.robot.MemoryCell]",roundKills,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot,setHardwareBus/1[net.virtualinfinity.atrobots.robot.HardwareBus],hardwareBus,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot,"inflictDamage/2[net.virtualinfinity.atrobots.robot.DamageInflicter,double]",cause,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot,"inflictDamage/2[net.virtualinfinity.atrobots.robot.DamageInflicter,double]",damageAmount,1
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot,"inflictDamage/2[net.virtualinfinity.atrobots.robot.DamageInflicter,double]",unabsorbedAmount,3
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot,"doScan/3[net.virtualinfinity.atrobots.robot.AngleBracket,double,boolean]",robotScanner,2
/Users/angelikamentzelopoulou/Desktop/Y3/RP/BSc-Research-Project-Understandable-Test-Generation/benchmark/SF110-src/SF110-20130704-src/86_at-robots2-j/src/main/java/net/virtualinfinity/atrobots/robot/Robot.java,net.virtualinfinity.atrobots.robot.Robot,"doScan/3[net.virtualinfinity.atrobots.robot.AngleBracket,double,boolean]",calculateAccuracy,2
