TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.6746568419220946,2786,1564
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.6704454998780224,2786,1632
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.7104072091345046,2786,1730
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.654218763061417,2786,1506
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.6910971675597477,2786,1678
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.682161409686219,2786,1598
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.6584040888952579,2786,1529
org.objectweb.asm.jip.ClassReader,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.658020391594443,2586,1518
org.objectweb.asm.jip.ClassReader,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.6512653187663388,2586,1507
org.objectweb.asm.jip.MethodWriter,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.6506088646184659,2786,1561
org.objectweb.asm.jip.ClassReader,BRANCH;LINE;OUTPUT;METHOD;CBRANCH,0.05282543136480304,2586,62
